No,Nama Mahasiswa,Kampus,Prodi,Semester (1-6),Jam Tidur (0-11),Jam Bangun (0-12),Rata-Rata Screentime (0-18),Punya Pacar (Ya atau Tidak),Fekuensi Malam Minggu (0-3),Bermain Judol (Ya atau Tidak),Waktu Belajar (0-12),Pekerjaan Sampingan (Ya atau Tidak),IPK
1,Corresponden 1,Universitas 1,Bimbingan dan Konseling Pendidikan Islam,4,23:00:00,6:00:00,2,Ya,1,Tidak,3,Tidak,3.97
2,Corresponden 2,Universitas 2,Teknik Informatika,4,23:00:00,5:00:00,3,Tidak,1,Tidak,1,Tidak,3.5
3,Corresponden 3,Universitas 3,Teknik Informatika,2,23:00:00,5:00:00,5,Ya,2,Tidak,5,Tidak,3.77
4,Corresponden 4,Universitas 4,Teknologi Informasi,2,22:00:00,6:00:00,10,Ya,2,Tidak,1,Ya,3.78
5,Corresponden 5,Universitas 5,Teknik Gigi,2,23:00:00,5:00:00,4,Tidak,2,Tidak,9,Tidak,3.63
6,Corresponden 6,Universitas 6,Finance,6,0:00:00,8:00:00,3,Tidak,2,Tidak,3,Ya,3.43
7,Corresponden 7,Universitas 7,Teknik Tenaga Listrik,2,1:00:00,8:00:00,15,Ya,2,Tidak,9,Ya,3.25
8,Corresponden 8,Universitas 8,Kebidanan,4,22:00:00,5:00:00,6,Tidak,1,Tidak,3,Ya,3.8
9,Corresponden 9,Universitas 9,Ilmu Komunikasi,2,1:00:00,5:00:00,6,Ya,1,Tidak,9,Tidak,3.95
10,Corresponden 10,Universitas 10,Teknik Elektro,2,22:00:00,5:00:00,2,Ya,1,Tidak,1,Ya,3.64
11,Corresponden 11,Universitas 11,Teknologi Rekayasa Otomotif,2,22:00:00,4:00:00,4,Tidak,1,Tidak,9,Ya,2.88
12,Corresponden 12,Universitas 12,Sistem Informasi,2,0:00:00,7:00:00,6,Tidak,1,Tidak,3,Tidak,3
13,Corresponden 13,Universitas 13,Teknik Elektronika,4,0:00:00,4:00:00,8,Tidak,1,Tidak,1,Tidak,3.33
14,Corresponden 14,Universitas 6,IT,4,18:00:00,6:00:00,8,Ya,3,Tidak,5,Ya,3.4
15,Corresponden 15,Universitas 14,Manajemen keuangan,4,23:00:00,5:00:00,6,Ya,3,Tidak,1,Ya,3.5
16,Corresponden 16,Universitas 15,Akuntansi,8,23:00:00,4:00:00,7,Tidak,1,Tidak,4,Tidak,3.89
17,Corresponden 17,Universitas 16,Psikologi,2,22:00:00,5:00:00,4,Tidak,2,Tidak,4,Tidak,3.95
18,Corresponden 18,Universitas 17,Administrasi publik,2,1:00:00,5:00:00,1,Tidak,1,Tidak,7,Tidak,3.83
